Base Model,Low+Irr Labelers,Total,MMLU,Jama,MedXpert,Medbullets,Total_STD,MMLU_STD,JAMA_STD,MedXpert_STD,MedBullets_STD
Llama-70B,MedGemma-27B Removed,62.846153846153854,64.41586280814576,6.06060606060606,64.07185628742515,44.849441718725664,1.3401998505851358,47.9024250242994,24.23058422987799,48.05097004295932,19.394672068259982
MedGemma-27B,Original Accuracy,21.69230769230769,26.79528403001072,3.03030303030303,9.2814371257485,13.035674728687416,1.1430978678785448,44.313043391823534,17.407765595569778,29.0607495067218,7.112531323038404
MedGemma-27B,Trainee Removed,37.76923076923077,37.94212218649517,6.06060606060606,40.41916167664671,28.140629974582648,1.3446212746814246,48.55032425865195,24.23058422987799,49.14711986970647,11.063144869193328
MedGemma-27B,Qwen-14B Removed,29.75961538461538,31.762853499086148,1.8939393939393936,27.003325080608008,20.22003932454452,1.317780094348262,44.81021938975124,10.87985349723111,41.1688663557095,9.389692329737672
MedGemma-27B,Qwen-72B Removed,49.7972972972973,51.97404917232503,5.447635135135135,48.0272144255195,35.14963291099322,1.6727608890167858,49.92465527613747,21.43619919327616,49.89218359463547,14.90294485972992
MedGemma-27B,Llama-70b Removed,44.72868217054263,47.95258620689656,6.25,39.39393939393939,31.198841866945315,1.38435701592871,49.98500221445181,24.59346884189823,48.936370443823904,12.71673623869503
MedGemma-27B,GPT-4o Removed,45.84615384615385,49.62486602357985,3.03030303030303,39.52095808383233,30.72537571257174,1.381956684763193,50.02540881332392,17.407765595569778,48.96291890101679,14.151384232303132
MedGemma-27B,GPT5 Removed,40.38461538461539,41.157556270096464,3.03030303030303,41.91616766467065,28.70134232169004,1.3608663469949025,49.23829504301308,17.407765595569778,49.41622123356699,12.837387669576009
MedGemma-27B,MedGemma-27B Removed,40.38461538461539,44.37299035369775,3.03030303030303,32.934131736526936,26.779141706842573,1.3608663469949025,49.70900514437037,17.407765595569778,47.0679194540862,12.325006767802485
Llama-70B,Llama-70B SR,31.0,42.49,28.69,22.64,39.61,8.049016632483747,0.0,0.0,0.0,0.0
Qwen 72B,Qwen-72B SR,60.98,92.67,65.59,29.52,68.18,22.532417757533256,0.0,0.0,0.0,0.0
